ID,Company,Location,Sector,Designation,Job Description,Salary
1572,Function Space,"Bengaluru Area, India",Higher Education,Laravel Developer,"Function Space is looking for a  Back End Web developer with very strong knowledge in Laravel &amp; PHPto join our team in Bangalore You'll be responsible for developing and maintaining the Function Space web app. Additionally, you'll be working on our API's, ensuring high back-end performance and timely delivery of new features on the platform....",No salary provided
1573,Instamojo,"Bengaluru Area, India",Internet,Android Developer,"# What you will do - Architect and develop Instamojo’s Android app from scratch   - Implement beautiful UIs and transitions that result in high productivity and delight among Instamojo’s seller and buyer userbase   - Conceptualise, design and execute features that enhance our mobile products   - Dedicatedly maintain and improve the codebase of the app and product with scheduled releases of new fea...",No salary provided
1574,TravelSpice.com,"Bengaluru Area, India",Hospitality,SEO Specialist,Search Engine Optimization (SEO/SMO) Analyst The SEO/SMO Analyst is responsible for implementing SEO and social media strategies for clients. Key Functional Areas of Responsibility Perform keyword research in coordination with business objectives to optimize existing content and uncover new opportunities Provide SEO analysis and recommendations in coordination with elements and structure of websit...,No salary provided
1575,Function Space,"Bengaluru Area, India",Higher Education,Laravel Developer,"Function Space is looking for a  Back End Web developer with very strong knowledge in Laravel &amp; PHPto join our team in Bangalore You'll be responsible for developing and maintaining the Function Space web app. Additionally, you'll be working on our API's, ensuring high back-end performance and timely delivery of new features on the platform....",No salary provided
1576,Instamojo,"Bengaluru Area, India",Internet,Android Developer,"# What you will do - Architect and develop Instamojo’s Android app from scratch   - Implement beautiful UIs and transitions that result in high productivity and delight among Instamojo’s seller and buyer userbase   - Conceptualise, design and execute features that enhance our mobile products   - Dedicatedly maintain and improve the codebase of the app and product with scheduled releases of new fea...",No salary provided
1577,Crossover.,"Bengaluru Area, India",Computer Software,Crossover Front End Web Designer - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",No salary provided
1578,The Better India,"Bengaluru Area, India",Internet,Associate Editor,"Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed...",No salary provided
1579,The Better India,"Bengaluru Area, India",Internet,Associate Editor,"Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed...",No salary provided
1580,Function Space,"Bengaluru Area, India","Higher Education, Information Technology and Services",Freelance Android Developer,Function Space is looking for a talented Freelance Android Developer with 3-5 years of experience to join our young team and deliver brilliant and trendsetting Android mobile applications. Responsibilities:- Lead development and maintenance of scalable and reliable mobile apps You will work closely with the designers to execute emerging designs and ensure that the feasibility and usability of the...,No salary provided
1581,Function Space,"Bengaluru Area, India","Higher Education, Information Technology and Services",Freelance Android Developer,Function Space is looking for a talented Freelance Android Developer with 3-5 years of experience to join our young team and deliver brilliant and trendsetting Android mobile applications. Responsibilities:- Lead development and maintenance of scalable and reliable mobile apps You will work closely with the designers to execute emerging designs and ensure that the feasibility and usability of the...,No salary provided
1582,HOWTODO GLOBAL CONSULTING SERVICES,"Bengaluru Area, India",Computer Software,SAP BASIS ENGINEER - IMMEDIATE JOINING,SAP BASIS ENGINEER for one of our CMM LEVEL 5 CLient. Should have hands on Experience with full time employement. Candidates with completed Notice Period and can join immediately are preferable and eligible to join this job....,No salary provided
1583,HOWTODO GLOBAL CONSULTING SERVICES,"Bengaluru Area, India",Computer Software,SAP BASIS ENGINEER - IMMEDIATE JOINING,SAP BASIS ENGINEER for one of our CMM LEVEL 5 CLient. Should have hands on Experience with full time employement. Candidates with completed Notice Period and can join immediately are preferable and eligible to join this job....,No salary provided
1584,Gaames Unlimited,"Bengaluru Area, India",Sporting Goods,Web Application Developer,"Experience Required: Up to 3 years’experience with HTML/XHTML and CSS Up to 2 years’ experience Web programming experience, including PHP, ASP or JSP Up to 1 year experience working with relational database systems such as MySQL, MSSQL or Oracle and a good working knowledge of SQL Qualification:BS in computer science or a related field bachelor's degree program in multimedia or web design   Job Re...",No salary provided
1585,Confidential,"Bengaluru Area, India","Design, Retail, Architecture & Planning",Senior interior designer & sales executive,"You are a confident and experienced interior designer who enjoys the whole experience from pitching concept ideas to clients to closing the project and execution. We need you to be part of the business development and sales team and interact with homeowners and help them to design, decorate and furnish their dream homes. You will work collaboratively with the in-house design, sales and execution e...",No salary provided
1586,Blue Dots Consultancy Services,"Bengaluru Area, India",Information Technology and Services,"Translators (English >German, French, Japanese and Chinese)","If you are interested in this position, write to &lt;careers@bluedotsconsultancy.com&gt; with your updated resume,salary expectations and notice period.   We require translators for the following languages: Japanese, Chinese, Spanish, French and German preferably from a content management setting. Job role- Language Translators (English&gt; German, French, Spanish, Japanese and Chinese)    Job des...",No salary provided
1587,HOWTODO GLOBAL CONSULTING SERVICES,"Bengaluru Area, India",Computer Software,SAP BASIS ENGINEER - IMMEDIATE JOINING,SAP BASIS ENGINEER for one of our CMM LEVEL 5 CLient. Should have hands on Experience with full time employement. Candidates with completed Notice Period and can join immediately are preferable and eligible to join this job....,No salary provided
1588,Confidential,"Bengaluru Area, India","Design, Retail, Architecture & Planning",Senior interior designer & sales executive,"You are a confident and experienced interior designer who enjoys the whole experience from pitching concept ideas to clients to closing the project and execution. We need you to be part of the business development and sales team and interact with homeowners and help them to design, decorate and furnish their dream homes. You will work collaboratively with the in-house design, sales and execution e...",No salary provided
1589,Blue Dots Consultancy Services,"Bengaluru Area, India",Information Technology and Services,"Translators (English >German, French, Japanese and Chinese)","If you are interested in this position, write to &lt;careers@bluedotsconsultancy.com&gt; with your updated resume,salary expectations and notice period.   We require translators for the following languages: Japanese, Chinese, Spanish, French and German preferably from a content management setting. Job role- Language Translators (English&gt; German, French, Spanish, Japanese and Chinese)    Job des...",No salary provided
1590,HOWTODO GLOBAL CONSULTING SERVICES,"Bengaluru Area, India",Computer Software,SAP BASIS ENGINEER - IMMEDIATE JOINING,SAP BASIS ENGINEER for one of our CMM LEVEL 5 CLient. Should have hands on Experience with full time employement. Candidates with completed Notice Period and can join immediately are preferable and eligible to join this job....,No salary provided
1591,Plavaga Software Solutions Pvt. Ltd.,"Bengaluru Area, India","Computer Software, Research, Information Technology and Services",Java Web Developer,"We are hunting for enthusiastic folks having experience in, or love for, building extra-ordinary applications. Doors are open at our Bangalore office for you to jump in. Read on to find more. Responsibilities Design, rapidly prototype, and implement scalable, reliable, and maintainable web applications using Java and Web 2.0 technologies. Enforce code quality through test driven development. Colla...",No salary provided
1592,Stratifix Consulting Services Pvt Ltd,"Bengaluru Area, India",Information Technology and Services,Product Implementation Engineer- ITIL Tools,"FOR THE ROLE OF Prod Implementation Engineer at Bangalore, Delhi and Mumbai A technical role, focused on implementing and supporting ITIL Web Application Suite and database components This role requires expertise in ITIL/ITSM based tools such as REMEDY/ KASAYA/ Manageengine Requires knowledge and considerable hands on experience in dealing with databases on SQL To act as 1st and 2nd line support i...",No salary provided
1593,SignEasy,"Bengaluru Area, India",Graphic Design,Visual Designer,"SignEasy is a SaaS based mobile and web product, an apple featured app with millions of downloads and users, across consumers and businesses.We are looking for a visual designer who loves taking a concept to an awesome design that provides intuitive and delightful product experience to our users. You will create the visual style and brand not just for our core products in mobile and web, but also...",No salary provided
1594,Etrance Networks,"Bengaluru Area, India","Telecommunications, Design",Lead Hardware Design Engineer,"Etrance Networks is looking out for a Rockstar Hardware Engineer. He or she should have 4-6 years of experience in hardware design and be able to lead a hardware team. Should have prior experience in board-design life-cycle - Component Selection, Schematic Design, ORCAD Capture, Knowledge of PCB Design and Layout verification, PCB Verification and Board Bringup. Prior experience with iMX6 board an...",No salary provided
1595,Instahyre,"Bengaluru Area, India",Internet,Android / iOS Developer at 200+ companies,"Do you have mobile development experience and are you looking for software engineering opportunities at tech companies? Tired of applying to dozens of companies on job boards?  That's why we built Instahyre, a career marketplace that connects the best talent with tech companies in India. Simply sign up by importing your LinkedIn profile, and participate in a one week ""auction"" in which companies m...",No salary provided
1596,Primaseller,"Bengaluru Area, India",Retail,Communications Officer,1. He or she will plan as well as create content for our blog and social media 2. Is expected to track and learn about latest trends in the retail and internet economy 3. Keep readers hooked on their content with compelling storytelling formats 4. Understand the promotional needs of Primaseller and gaining indepth knowledge of the product   5. Incharge of overall communications strategy of the com...,No salary provided
1597,SignEasy,"Bengaluru Area, India",Graphic Design,Visual Designer,"SignEasy is a SaaS based mobile and web product, an apple featured app with millions of downloads and users, across consumers and businesses.We are looking for a visual designer who loves taking a concept to an awesome design that provides intuitive and delightful product experience to our users. You will create the visual style and brand not just for our core products in mobile and web, but also...",No salary provided
1598,Etrance Networks,"Bengaluru Area, India","Telecommunications, Design",Lead Hardware Design Engineer,"Etrance Networks is looking out for a Rockstar Hardware Engineer. He or she should have 4-6 years of experience in hardware design and be able to lead a hardware team. Should have prior experience in board-design life-cycle - Component Selection, Schematic Design, ORCAD Capture, Knowledge of PCB Design and Layout verification, PCB Verification and Board Bringup. Prior experience with iMX6 board an...",No salary provided
1599,Instahyre,"Bengaluru Area, India",Internet,Android / iOS Developer at 200+ companies,"Do you have mobile development experience and are you looking for software engineering opportunities at tech companies? Tired of applying to dozens of companies on job boards?  That's why we built Instahyre, a career marketplace that connects the best talent with tech companies in India. Simply sign up by importing your LinkedIn profile, and participate in a one week ""auction"" in which companies m...",No salary provided
1600,Primaseller,"Bengaluru Area, India",Retail,Communications Officer,1. He or she will plan as well as create content for our blog and social media 2. Is expected to track and learn about latest trends in the retail and internet economy 3. Keep readers hooked on their content with compelling storytelling formats 4. Understand the promotional needs of Primaseller and gaining indepth knowledge of the product   5. Incharge of overall communications strategy of the com...,No salary provided
1601,Winfort,"Bengaluru Area, India","Banking, Financial Services, Management Consulting",VP/ AVP Credit Risk Analytics,"The Analytics team is responsible for developing integrated strategies on risk and marketing, providing business inferences, supporting the modeling \ forecasting needs and management information reporting. The work would primarily involve the use of customer \ operational data and application of statistical tools and techniques. The incumbent candidate needs to have significant experience of deve...",No salary provided
1602,Watchy technology pvt ltd.,"Bengaluru Area, India",Computer Hardware,Software Engineer - Network,"Modify IP network stack on Linux Optimising TCP and benchmarking results Write simulators for network test Automation of network testing Though this list is neither definitive nor exhaustive, it gives a fair idea what you can expect in this role....",No salary provided
1603,E2 Edge,"Bengaluru Area, India",Information Technology and Services,Sr Front End Engineer,"  6+ years of experience building web applications Expert knowledge of JavaScript Expert knowledge of web technologies (HTML/CSS) Ability to write high-performance, reusable code for UI components Aware of but not reliant on Object Oriented JavaScript Frameworks (jQuery, AngularJS, Node.js, React, etc.) Experience building Responsive websites Templating: Mustache, Handlebars SASS / LESS An eye for...",No salary provided
1604,Winfort,"Bengaluru Area, India","Banking, Financial Services, Management Consulting",VP/ AVP Credit Risk Analytics,"The Analytics team is responsible for developing integrated strategies on risk and marketing, providing business inferences, supporting the modeling \ forecasting needs and management information reporting. The work would primarily involve the use of customer \ operational data and application of statistical tools and techniques. The incumbent candidate needs to have significant experience of deve...",No salary provided
1605,Watchy technology pvt ltd.,"Bengaluru Area, India",Computer Hardware,Software Engineer - Network,"Modify IP network stack on Linux Optimising TCP and benchmarking results Write simulators for network test Automation of network testing Though this list is neither definitive nor exhaustive, it gives a fair idea what you can expect in this role....",No salary provided
1606,E2 Edge,"Bengaluru Area, India",Information Technology and Services,Sr Front End Engineer,"  6+ years of experience building web applications Expert knowledge of JavaScript Expert knowledge of web technologies (HTML/CSS) Ability to write high-performance, reusable code for UI components Aware of but not reliant on Object Oriented JavaScript Frameworks (jQuery, AngularJS, Node.js, React, etc.) Experience building Responsive websites Templating: Mustache, Handlebars SASS / LESS An eye for...",No salary provided
1607,Zamstars Management Services (I) Pvt. Ltd.,"Bengaluru Area, India",Marketing and Advertising,Social Media Specialist,"As the Social Media Marketing Specialist at Zamstars, you will be responsible for: Managing the social media marketing strategy for Zamstars and Zamstars’s clients; focusing on LinkedIn, Twitter, Facebook, Google+, YouTube, Instagram and more Execution of all social media activities (i.e. tweeting, sharing, engaging, liking, increasing social reach, doing the heavy lifting, etc.) for Zamstars and...",No salary provided
1608,3i Molecular Solutions,"Bengaluru Area, India",Biotechnology,Product Specialist,"Designation: Product Specialist (Genomics) No. of positions available: 4 Job Locations: Positions available in Bangalore, Hyderabad, Kolkata and New Delhi. Job Description:  Effectively describes the process and value-added benefits of the clinical/research products/services to new and prospective clients.Stays abreast of trends in the marketplace to ensure the product's competitive position. Inte...",No salary provided
1609,BLUERACE Technologies Private Limited,"Bengaluru Area, India",Information Technology and Services,IT Technical Recruiter,"We are looking for the technical recruiter whose sole responsiblility will be securing an appropriate candidates for open contractual and full time positions in our organization Hiring potential candidates as per processes. Extensive Resource Hunting and Cold Calling Activity. Briefing the candidate about the responsibilities, salary and benefits of the job in question. Informing candidates about...",No salary provided
1610,Zamstars Management Services (I) Pvt. Ltd.,"Bengaluru Area, India",Marketing and Advertising,Social Media Specialist,"As the Social Media Marketing Specialist at Zamstars, you will be responsible for: Managing the social media marketing strategy for Zamstars and Zamstars’s clients; focusing on LinkedIn, Twitter, Facebook, Google+, YouTube, Instagram and more Execution of all social media activities (i.e. tweeting, sharing, engaging, liking, increasing social reach, doing the heavy lifting, etc.) for Zamstars and...",No salary provided
1611,3i Molecular Solutions,"Bengaluru Area, India",Biotechnology,Product Specialist,"Designation: Product Specialist (Genomics) No. of positions available: 4 Job Locations: Positions available in Bangalore, Hyderabad, Kolkata and New Delhi. Job Description:  Effectively describes the process and value-added benefits of the clinical/research products/services to new and prospective clients.Stays abreast of trends in the marketplace to ensure the product's competitive position. Inte...",No salary provided
1612,BLUERACE Technologies Private Limited,"Bengaluru Area, India",Information Technology and Services,IT Technical Recruiter,"We are looking for the technical recruiter whose sole responsiblility will be securing an appropriate candidates for open contractual and full time positions in our organization Hiring potential candidates as per processes. Extensive Resource Hunting and Cold Calling Activity. Briefing the candidate about the responsibilities, salary and benefits of the job in question. Informing candidates about...",No salary provided
1613,Gito.me,"Bengaluru Area, India",Information Technology and Services,"R&D Engineer,  R&D Lead",We are looking for a completely hands-on R&amp;D engineer who has great knowledge and understanding of the various technologies involved in making our platform extremely scalable and leading-edge. Keen innovative bent of mind that constantly explores better and best approaches to improve and accentuate our technology product would be an apt fit within our company. Proven track record of innovation...,No salary provided
1614,Wisden India,"Bengaluru Area, India","Internet, Publishing",Server Administrator,Cloud Enablement : 1) Basic On-boarding Infrastructure Monitoring :   1) 24x7 Availability Monitoring    2) Minimum Uptime SLA - 99.9% Backup Management :  1) Backup Automation   2) Backup Frequency - Daily/Twice a Day/Weekly  3) Restore Requests -5/month  4) Backup Retention - 24 months  5) Recovery Drills - Quarterly Incident Management :  1) Response Time - 30 mins/1 Hours  for critical issues...,No salary provided
1615,Mediacle,"Bengaluru Area, India","Marketing and Advertising, Internet",Affiliate Marketing Manager,"Manage Existing Affiliate &amp; Partner Business   Recruit new Affiliates, Partners &amp; Strategic partners.   Implement strategy for affiliate program, including awareness, acquisition &amp; retention tactics to achieve program targets.   Monitor affiliate activity, analyze performance, identify areas of improvement, &amp; recommend ways to increase affiliate generated revenues.   Executes affil...",No salary provided
1616,Jain Technosoft,"Bengaluru Area, India",Information Technology and Services,Urgent! PHP Web Developers with 2 to 4 years experience (core PHP experts only apply),We are recruiting PHP Web Developer with 2-4 years experience in core PHP and CMS....,No salary provided
1617,Gito.me,"Bengaluru Area, India",Information Technology and Services,"R&D Engineer,  R&D Lead",We are looking for a completely hands-on R&amp;D engineer who has great knowledge and understanding of the various technologies involved in making our platform extremely scalable and leading-edge. Keen innovative bent of mind that constantly explores better and best approaches to improve and accentuate our technology product would be an apt fit within our company. Proven track record of innovation...,No salary provided
1618,Wisden India,"Bengaluru Area, India","Internet, Publishing",Server Administrator,Cloud Enablement : 1) Basic On-boarding Infrastructure Monitoring :   1) 24x7 Availability Monitoring    2) Minimum Uptime SLA - 99.9% Backup Management :  1) Backup Automation   2) Backup Frequency - Daily/Twice a Day/Weekly  3) Restore Requests -5/month  4) Backup Retention - 24 months  5) Recovery Drills - Quarterly Incident Management :  1) Response Time - 30 mins/1 Hours  for critical issues...,No salary provided
1619,Mediacle,"Bengaluru Area, India","Marketing and Advertising, Internet",Affiliate Marketing Manager,"Manage Existing Affiliate &amp; Partner Business   Recruit new Affiliates, Partners &amp; Strategic partners.   Implement strategy for affiliate program, including awareness, acquisition &amp; retention tactics to achieve program targets.   Monitor affiliate activity, analyze performance, identify areas of improvement, &amp; recommend ways to increase affiliate generated revenues.   Executes affil...",No salary provided
1620,Jain Technosoft,"Bengaluru Area, India",Information Technology and Services,Urgent! PHP Web Developers with 2 to 4 years experience (core PHP experts only apply),We are recruiting PHP Web Developer with 2-4 years experience in core PHP and CMS....,No salary provided
1621,Gito.me,"Bengaluru Area, India",Information Technology and Services,"R&D Engineer,  R&D Lead",We are looking for a completely hands-on R&amp;D engineer who has great knowledge and understanding of the various technologies involved in making our platform extremely scalable and leading-edge. Keen innovative bent of mind that constantly explores better and best approaches to improve and accentuate our technology product would be an apt fit within our company. Proven track record of innovation...,No salary provided
1622,Wisden India,"Bengaluru Area, India","Internet, Publishing",Server Administrator,Cloud Enablement : 1) Basic On-boarding Infrastructure Monitoring :   1) 24x7 Availability Monitoring    2) Minimum Uptime SLA - 99.9% Backup Management :  1) Backup Automation   2) Backup Frequency - Daily/Twice a Day/Weekly  3) Restore Requests -5/month  4) Backup Retention - 24 months  5) Recovery Drills - Quarterly Incident Management :  1) Response Time - 30 mins/1 Hours  for critical issues...,No salary provided
1623,Mediacle,"Bengaluru Area, India","Marketing and Advertising, Internet",Affiliate Marketing Manager,"Manage Existing Affiliate &amp; Partner Business   Recruit new Affiliates, Partners &amp; Strategic partners.   Implement strategy for affiliate program, including awareness, acquisition &amp; retention tactics to achieve program targets.   Monitor affiliate activity, analyze performance, identify areas of improvement, &amp; recommend ways to increase affiliate generated revenues.   Executes affil...",No salary provided
1624,Jain Technosoft,"Bengaluru Area, India",Information Technology and Services,Urgent! PHP Web Developers with 2 to 4 years experience (core PHP experts only apply),We are recruiting PHP Web Developer with 2-4 years experience in core PHP and CMS....,No salary provided
1625,Mapplinks,"Bengaluru Area, India","Information Technology and Services, Marketing and Advertising, Design",PHP Web Developer,"Responsibilities: Create websites from scratch using HTML, CSS and PHP, MySQL Create web applications and products using the full development stack: Presentation layers like HTML5, CSS3, AJAX, Node.JS, JSON, jQuery; application layers such as PHP, RoR; database layers such as MySQL, PostgreSQL, and NoSQL Create applications using CMSs WordPress, Drupal, Joomla, and Magento Work on shared, cloud an...",No salary provided
1626,Function Space,"Bengaluru Area, India","Higher Education, Information Technology and Services",Freelance Android Developer,Function Space is looking for a talented Freelance Android Developer with 3-5 years of experience to join our young team and deliver brilliant and trendsetting Android mobile applications. Responsibilities:- Lead development and maintenance of scalable and reliable mobile apps You will work closely with the designers to execute emerging designs and ensure that the feasibility and usability of the...,No salary provided
1627,Appcito,"Bengaluru Area, India",Computer Software,Software Engineer,2-4 years of Java proficiency. Sound programming knowledge using Core Java  Good understanding of data structures and algorithms. BS/BE in CS or related engineering or equivalent field....,No salary provided
1628,HOWTODO GLOBAL CONSULTING SERVICES,"Bengaluru Area, India",Computer Software,"Microstrategy Architecture, Schema, and Development","JOB DESCRIPTION   Need Senior Level Consultant on Microstrategy to join immediately at the earliest. Lead or participate in Proof-of-Concept projects Lead Microstrategy Development Team Ability to play L2/L3 support role for Microstrategy Evaluate new Business Intelligence technologies, features, and products Technical team management experience including offshore team members Excellent personal c...",No salary provided
1629,Gravity Consulting Pty Ltd.,"Bengaluru Area, India",Information Technology and Services,INFORMATION & VISUAL DESIGN CONSULTANT,"Candidates applying for this position would be incharge to communicate their designs with the ability to perceive information and represent complex concepts and problems through innovative design thinking and creative visualisation. KEY RESPONSIBILITIES: The responsibilities of this position will differ depending on the project. - You will be in charge of things such as, information modelling, bus...",No salary provided
1630,Wizmatrix Consulting Pvt Ltd,"Bengaluru Area, India","Internet, Computer Software",Senior Developer ( Product Development) Mumbai,"    Software Developer  Location : Mumbai  Experience - 3-5 yrs   Looking for candidates from product Cos only  ( Preference given to candidates from Ecommerce Cos)      What are we looking for?   We are looking for motivated individuals with enthusiasm to bring an impact on this world.    We are hiring across verticals namely technology, product, community, marketing, content, international team....",No salary provided
1631,Nudgespot,"Bengaluru Area, India",Internet,Software Engineer,"At Nudgespot, we are building a product for B2C companies that enables contextual communication with their users and keeping it extremely simple all the way. It helps our customers interact with their users in a much more meaningful way, both automated and on-demand, by tracking user behaviors &amp; profiles and enabling them to intelligently segment their users. In addition, it involves a lot of...",No salary provided
1632,Nudgespot,"Bengaluru Area, India",Internet,Software Engineer,"At Nudgespot, we are building a product for B2C companies that enables contextual communication with their users and keeping it extremely simple all the way. It helps our customers interact with their users in a much more meaningful way, both automated and on-demand, by tracking user behaviors &amp; profiles and enabling them to intelligently segment their users. In addition, it involves a lot of...",No salary provided
1633,Wisely Online Services Private Limited,"Bengaluru Area, India",Internet,Web Application Developer,"1. Develop, test and support www.engagewise.com 2. May involve development of new web applications. 3. Collaborating with project managers and front end developers....",No salary provided
1634,TextNook,"Bengaluru Area, India",Information Technology and Services,Software Engineer,"As a platform builder, you will be responsible for revamping and building the TextNook platform from the ground up. This involves ideation, creating mockups and prototypes and writing the APIs and abstractions that the platform would be built on. You would be given the opportunity to lay the groundwork for creating the future engineering culture by choosing modern agile frameworks and ensuring qui...",No salary provided
1635,VerifIQ Technologies Private Limited,"Bengaluru Area, India",Semiconductors,Verification Engineer,Looking for a person with 2-4 years experience in design verification with following skillset: 1. Good knowledge of processor architecture. (Knowledge of ARM architecure a plus) 2. c++ and assmebly programming 3. Hands on experience in automation in UNIX enviroment (shell and perl scripting) 4. Good analytical skills Job Location : Bangalore Job role: Working as a consultant for one of the reputed...,No salary provided
1636,Blue Ocean Ventures,"Bengaluru Area, India",Staffing and Recruiting,US Technical Recruiter,"Hi,   Greetings from Blue Ocean Ventures, Bangalore. We have below requirements for our company.   Title: US Recruiter / Sr. Recruiter Location: Kormangala-Bangalore Salary: Open to market Process: US- Night Shifts   Requirements:   Minimum 2 years of recruiting experience preferred Fulltime recruiting experience will be preferred Excellent Communication &amp; Presentation skills   Responsibilitie...",No salary provided
1637,Blue Ocean Ventures,"Bengaluru Area, India",Staffing and Recruiting,US Technical Recruiter,"Hi,   Greetings from Blue Ocean Ventures, Bangalore. We have below requirements for our company.   Title: US Recruiter / Sr. Recruiter Location: Kormangala-Bangalore Salary: Open to market Process: US- Night Shifts   Requirements:   Minimum 2 years of recruiting experience preferred Fulltime recruiting experience will be preferred Excellent Communication &amp; Presentation skills   Responsibilitie...",No salary provided
1638,Juniper Engineering Solutions,"Bengaluru Area, India",Mechanical or Industrial Engineering,Sales and Application Engineer - Workholding,Job Function Generating and executing Orders for the Company’s Standard and Turnkey Products from designated Territories. Coordinate with Service Providers and Components Vendors to complete Turnkey Products to ensure timely despatches. Establish and maintain cordial relationship in working with Customers. Ensure Sales Growth to accelerate Career Growth.Assist Top Management in drawing Marketing P...,No salary provided
1639,Teritree Technologies,"Bengaluru Area, India",Computer Software,Sales and Marketing Superstar,"- Formulation and execution of sales strategy  - Customer Engagement and Account Management of active accounts - Creation of business partnerships with Digital Marketing Agencies and ecommerce platform vendors - Market Study and Competitor Analysis - Creation of various pricing models - Creating Marketing presence in India, Europe and US - Content Creation and presence in marketing forums - Search...",No salary provided
1640,InfoCognitio,"Bengaluru Area, India",Information Technology and Services,Content Developer / Technical Writer,Be able to write/develop content on simple to complex subjects spanning multiple technologies/domains. Interact with peers and supervisors. Be open to learning new technologies and keep abreast of emerging trends. Interact with clients for all project-related issues. Escalate appropriate matters to the management without delays. To Apply: Please send your resume to bindu.gangaram@infocognitio.com...,No salary provided
1641,Thinqbot Technologies,"Bengaluru Area, India","Electrical/Electronic Manufacturing, Consumer Electronics",Hardware Design Engineer,"3+ years experience as a Hardware Design Engineer with experience in embedded processors, power-management, power control , low power sensors , energy metering and RF design .   Bachelors/Masters degree in Electrical / Electronics Engineering .    Candidate Experience – 3 yrs to 12 Yrs CTC Offer – 5.5 LPA to 15 LPA...",No salary provided
1642,yelo.,"Bengaluru Area, India",Internet,Android + Ruby : Hands-On Coder / Developer,"Looking for a passioate individual to bring significant value-add to the table in the form of technology, product, passion and experience. We are preferably looking for a techie with product/brand aptitude.  You may read more about us below and then apply: Blog - https://www.linkedin.com/pulse/20141022074021-20921203-yelo-dream-big-and-leave-the-rest-on-execution AngelList - https://angel.co/yelo-...",No salary provided
1643,Ameri100,"Bengaluru Area, India",Information Technology and Services,Financial Analyst,"We at Ameri100 are looking to hire a strong result-oriented professional with 2-5 years of experience in business planning &amp; analysis, financial modelling, research and management reporting. As a Financial Analyst you provide the highest level of support for Ameri100’s business. You provide comprehensive business analysis, decision support and consulting to a portion of a functional organizati...",No salary provided
1644,Ameri100,"Bengaluru Area, India",Information Technology and Services,Financial Analyst,"We at Ameri100 are looking to hire a strong result-oriented professional with 2-5 years of experience in business planning &amp; analysis, financial modelling, research and management reporting. As a Financial Analyst you provide the highest level of support for Ameri100’s business. You provide comprehensive business analysis, decision support and consulting to a portion of a functional organizati...",No salary provided
1645,IceCream Labs,"Bengaluru Area, India",Information Technology and Services,Software Engineer,"We are looking for a hands-on full stack software developer who eats, breaths and lives on technology and creates great apps. This is your opportunity to play a leading role in transforming an industry and to create dynamic and exciting new solutions. You will work directly with the founding team, engineers and advisers from around the world to understand market needs, define product features and...",No salary provided
1646,Hotelsoft Inc.,"Bengaluru Area, India","Information Technology and Services, Hospitality","Software Engineer - Angular.js, Node.js - SaaS Platform (multiple positions)","Work as part of an exciting, well funded startup  Work in small, cross-functional teams committed to building high quality applications  Drive the design and build out of a new platform, including user-facing features and core back-end functionality  Innovate at a very fast pace to maintain our cutting edge technologies  Qualifications  Love of programming  Strong knowledge of JavaScript with an a...",No salary provided
1647,IceCream Labs,"Bengaluru Area, India",Information Technology and Services,Software Engineer,"We are looking for a hands-on full stack software developer who eats, breaths and lives on technology and creates great apps. This is your opportunity to play a leading role in transforming an industry and to create dynamic and exciting new solutions. You will work directly with the founding team, engineers and advisers from around the world to understand market needs, define product features and...",No salary provided
1648,Function Space,"Bengaluru Area, India",Higher Education,Copyeditor,"You will write and verify content on our website, advertisement, marketing and informational materials, and other communications  You will also write blogs and write content for online social media including website You will frequently help to develop marketing campaigns and concepts Daily tasks will include writing new materials, proofreading and editing on site...",No salary provided
1649,Function Space,"Bengaluru Area, India",Higher Education,Copyeditor,"You will write and verify content on our website, advertisement, marketing and informational materials, and other communications  You will also write blogs and write content for online social media including website You will frequently help to develop marketing campaigns and concepts Daily tasks will include writing new materials, proofreading and editing on site...",No salary provided
1650,DesignSense Software Technologies Private Limited,"Bengaluru Area, India",Information Technology and Services,"Senior Software Engineer, Android Development","Role As a Senior Software Engineer, you will be working on product development and be on the forefront of advancing Construction Management processes through different technologies, enabling companies to adapt Lean Construction technologies.  In this role, you will work through all facets of software development: design, prototype, implementation, testing and documentation.     Principal Duties &a...",No salary provided
1651,Crossover.,"Bengaluru Area, India",Computer Software,Crossover Software Engineer - C++ - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",No salary provided
1652,Veda Semantics,"Bengaluru Area, India",Information Technology and Services,NLP Programmer,"You will be part of our research team developing and enhancing our Sentiment analysis, Problem Identification, Intent Identification, NER, Topic extraction, Question Answering systems....",No salary provided
